1353,-10082,992,-9787,-1816,13392,1278,3483,-4011
1270,-9915,715,-9832,-1325,13437,1391,3484,-4011
1164,-9588,453,-10253,-1694,13146,1476,3491,-4023
816,-9365,436,-10898,-2008,13047,1579,3514,-4015
421,-9046,441,-11204,-2232,12426,1681,3515,-4027
220,-8833,484,-11111,-2454,12221,1763,3531,-4000
199,-8589,420,-10788,-2189,12133,1852,3526,-3997
127,-8267,80,-11057,-1864,12107,1937,3518,-3993
53,-8070,-76,-11460,-2527,11572,2033,3541,-3997
-316,-7949,-48,-12148,-2490,12232,2126,3544,-3991
-520,-7824,-49,-12638,-1863,12723,2211,3503,-3984
-946,-7137,-240,-13005,-1152,11929,2299,3488,-3977
-866,-6697,-685,-12684,-1568,12457,2367,3509,-3979
-694,-6583,-879,-12584,-2003,12046,2453,3479,-3977
-223,-6769,-966,-12594,-1864,12229,2523,3487,-3948
218,-6882,-1070,-13054,-1983,11482,2598,3478,-3944
446,-6834,-1093,-13061,-2774,11652,2683,3494,-3926
609,-6663,-761,-13046,-2892,11548,2746,3490,-3920
662,-6443,-655,-13546,-2159,11836,2822,3480,-3898
1187,-6855,-917,-13942,-1109,9723,2897,3503,-3869
1451,-7058,-985,-13363,-2072,10346,2981,3513,-3851
1511,-7242,-867,-13045,-2301,10076,3033,3530,-3851
1626,-7348,-694,-13490,-2158,9536,2857,3530,-3838
1791,-7332,-533,-14181,-2289,9334,3113,3537,-3789
1643,-7219,-196,-14413,-2272,9239,3209,3550,-3792
1316,-7343,39,-14568,-2055,9099,3292,3568,-3736
1018,-7585,374,-14438,-1801,8839,3344,3576,-3718
714,-7606,347,-14131,-1741,9331,3402,3582,-3697
640,-7626,478,-14206,-1733,9089,3480,3589,-3650
795,-7747,584,-14503,-1852,8820,3542,3608,-3610
844,-7899,796,-14730,-2203,8257,3624,3592,-3591
711,-7825,1148,-14772,-2505,8333,3696,3609,-3568
231,-7319,1462,-14798,-1635,7892,3733,3615,-3532
-16,-7236,1211,-14793,-1352,6773,3793,3614,-3490
-449,-7207,1244,-14765,-1982,7172,3845,3622,-3464
-552,-7288,1334,-14934,-1975,7205,3923,3621,-3424
-404,-7438,1270,-14771,-1883,7085,3965,3609,-3397
-340,-7616,1243,-14675,-1915,7056,4037,3603,-3369
-403,-7802,1110,-14569,-1703,6966,4090,3624,-3333
-317,-7972,990,-14239,-1730,6717,4152,3603,-3286
-231,-8180,807,-14134,-1533,6803,4198,3602,-3243
-107,-8306,517,-14297,-1565,6541,4281,3610,-3200
36,-8244,326,-14713,-1832,6140,4345,3606,-3163
235,-7970,157,-15283,-1876,6188,4397,3606,-3122
472,-8041,-123,-15543,-1496,5120,4456,3605,-3066
450,-8224,-227,-15459,-1882,5418,4547,3626,-3015
256,-8336,-252,-15503,-1806,5358,4601,3604,-2964
137,-8487,-311,-15480,-1754,5136,4666,3609,-2909
92,-8518,-404,-15692,-2147,4758,4740,3595,-2853
74,-8415,-436,-15746,-2041,4311,4786,3596,-2807
185,-8563,-559,-15364,-2193,3985,4878,3593,-2753
256,-8522,-611,-15115,-1891,3738,4948,3577,-2695
257,-8359,-796,-15338,-1846,3616,5003,3574,-2626
17,-8287,-812,-15530,-2109,3471,5066,3564,-2571
-232,-8345,-520,-15739,-2648,3440,5117,3574,-2507
80,-8584,-508,-16303,-1740,2945,5192,3561,-2457
510,-8969,-778,-16078,-1676,2741,5248,3566,-2392
534,-9193,-814,-16202,-1666,2572,5322,3544,-2392
390,-9196,-855,-15971,-1714,2699,5368,3544,-2333
182,-8993,-1010,-15394,-1237,2180,5368,3541,-2252
145,-8586,-1469,-15142,-916,1818,5439,3527,-2193
235,-8173,-1986,-15274,-802,1559,5493,3523,-2122
365,-7914,-2450,-15639,-863,1361,5554,3501,-2066
425,-7752,-2710,-15777,-1324,1612,5621,3478,-1999
614,-7748,-2791,-15897,-1477,1303,5677,3459,-1949
823,-7757,-2861,-16124,-1607,862,5719,3446,-1880
1106,-7850,-2736,-16445,-1823,805,5779,3420,-1806
1288,-7869,-2437,-16703,-1885,566,5840,3386,-1739
1504,-7833,-2276,-16824,-1691,87,5884,3397,-1671
1565,-8006,-2023,-16635,-1888,-12,5933,3392,-1603
1509,-7848,-1846,-16242,-1817,-375,5982,3373,-1525
1312,-7630,-1761,-15871,-1741,-871,6016,3376,-1464
1136,-7283,-1763,-15590,-1536,-1110,6074,3357,-1402
1094,-6906,-1884,-15260,-1301,-1266,6118,3359,-1329
1071,-6455,-1986,-15318,-1134,-1395,6144,3340,-1268
899,-6033,-1958,-15739,-1074,-1595,6183,3320,-1195
685,-5898,-1877,-16000,-822,-1892,6216,3344,-1140
621,-5881,-1792,-16075,-854,-2112,6254,3298,-1092
597,-5903,-1699,-16141,-864,-2289,6278,3300,-1034
650,-6019,-1646,-15854,-949,-2338,6313,3253,-967
621,-6101,-1516,-15649,-1138,-2509,6334,3241,-925
368,-6238,-1288,-15557,-1226,-2672,6373,3242,-866
90,-6378,-1094,-15474,-1145,-3033,6383,3230,-797
-143,-6535,-1009,-15103,-1325,-3379,6432,3228,-738
-318,-6411,-951,-14959,-1084,-3406,6443,3216,-691
-190,-6283,-976,-15047,-812,-3487,6480,3195,-614
76,-6233,-1076,-15101,-800,-3790,6496,3197,-556
332,-6215,-1087,-15145,-922,-3734,6511,3167,-530
530,-6512,-1159,-14936,-896,-4089,6543,3163,-442
483,-6719,-1120,-14888,-979,-4287,6554,3164,-387
251,-7193,-975,-14952,-977,-4319,6586,3139,-320
-86,-7534,-801,-15001,-824,-4367,6599,3138,-248
-265,-7907,-734,-14928,-412,-4625,6634,3117,-189
-317,-8200,-826,-15008,-239,-4757,6661,3134,-189
-100,-8503,-1006,-15073,-367,-5335,6661,3134,-112
206,-8866,-1117,-14536,-570,-5623,6667,3120,-37
397,-9144,-1087,-13897,-681,-6103,6685,3095,54
324,-9240,-1068,-13648,-793,-6429,6704,3104,143
-181,-9168,-927,-13629,-997,-6612,6722,3076,228
-686,-9060,-728,-13843,-1055,-7065,6738,3075,312
-729,-9235,-519,-14237,-1088,-7294,6769,3031,384
